fips,state,county,VHb
01001,AL,Autauga County,0.9671092538922964
01003,AL,Baldwin County,0.954490463990891
01005,AL,Barbour County,0.9477091879602628
01007,AL,Bibb County,0.9586697321285356
01009,AL,Blount County,0.9769107472558688
01011,AL,Bullock County,0.9697905477980664
01013,AL,Butler County,0.9783261522391956
01015,AL,Calhoun County,0.965603190428714
01017,AL,Chambers County,0.9841833559111046
01019,AL,Cherokee County,0.9821411918306444
01021,AL,Chilton County,0.9658286551134976
01023,AL,Choctaw County,0.9391939665331134
01025,AL,Clarke County,0.9730860567680653
01027,AL,Clay County,0.9725065808716
01029,AL,Cleburne County,0.983167747762542
01031,AL,Coffee County,0.9677327512574736
01033,AL,Colbert County,0.9662918521872564
01035,AL,Conecuh County,0.9798111364376424
01037,AL,Coosa County,0.9711722488038276
01039,AL,Covington County,0.9715624175244127
01041,AL,Crenshaw County,0.9821652625918624
01043,AL,Cullman County,0.9770725736633132
01045,AL,Dale County,0.957786276972257
01047,AL,Dallas County,0.9677876344992749
01049,AL,DeKalb County,0.9769885697046896
01051,AL,Elmore County,0.9587090650213574
01053,AL,Escambia County,0.9789274618397948
01055,AL,Etowah County,0.9726466116691176
01057,AL,Fayette County,0.980051382801874
01059,AL,Franklin County,0.977541717201288
01061,AL,Geneva County,0.976642971130132
01063,AL,Greene County,0.9667352537722907
01065,AL,Hale County,0.956777001720822
01067,AL,Henry County,0.9776119402985074
01069,AL,Houston County,0.9682191645828456
01071,AL,Jackson County,0.9684152343852817
01073,AL,Jefferson County,0.948317948740647
01075,AL,Lamar County,0.9809388335704126
01077,AL,Lauderdale County,0.9698871893211884
01079,AL,Lawrence County,0.9703370219211512
01081,AL,Lee County,0.9759691862953302
01083,AL,Limestone County,0.9753945679260956
01085,AL,Lowndes County,0.9616184009976444
01087,AL,Macon County,0.966928293835251
01089,AL,Madison County,0.9299598594039225
01091,AL,Marengo County,0.9708339334581592
01093,AL,Marion County,0.981743053505924
01095,AL,Marshall County,0.9639394341878073
01097,AL,Mobile County,0.9609170215273288
01099,AL,Monroe County,0.975115379817887
01101,AL,Montgomery County,0.9562444478480624
01103,AL,Morgan County,0.965639347192279
01105,AL,Perry County,0.9797276385020118
01107,AL,Pickens County,0.9596921207210856
01109,AL,Pike County,0.9710377502674614
01111,AL,Randolph County,0.981022058419055
01113,AL,Russell County,0.9688689034936008
01115,AL,St. Clair County,0.9655139050146514
01117,AL,Shelby County,0.969736931088118
01119,AL,Sumter County,0.9656989126779508
01121,AL,Talladega County,0.9688584488847442
01123,AL,Tallapoosa County,0.9693740429388418
01125,AL,Tuscaloosa County,0.963273247285694
01127,AL,Walker County,0.9654490778710072
01129,AL,Washington County,0.9770348383065146
01131,AL,Wilcox County,0.9704701463540992
01133,AL,Winston County,0.9861545118023172
04001,AZ,Apache County,0.8720266007332252
04003,AZ,Cochise County,0.9280340703338178
04005,AZ,Coconino County,0.9175150426326744
04007,AZ,Gila County,0.967143223490191
04009,AZ,Graham County,0.9526356656026228
04011,AZ,Greenlee County,0.9854550907182488
04012,AZ,La Paz County,0.9654828837805138
04013,AZ,Maricopa County,0.9339533834432264
04015,AZ,Mohave County,0.96531316889206
04017,AZ,Navajo County,0.9241096860613712
04019,AZ,Pima County,0.9231082960633874
04021,AZ,Pinal County,0.9469935303818344
04023,AZ,Santa Cruz County,0.7133656312339698
04025,AZ,Yavapai County,0.9676919423579258
04027,AZ,Yuma County,0.9089833595367444
05001,AR,Arkansas County,0.9700931385114928
05003,AR,Ashley County,0.9651104597125902
05005,AR,Baxter County,0.9721462747778538
05007,AR,Benton County,0.9461291655402132
05009,AR,Boone County,0.9775757161413824
05011,AR,Bradley County,0.9674111532518612
05013,AR,Calhoun County,0.9887337741856478
05015,AR,Carroll County,0.9753402181256636
05017,AR,Chicot County,0.9526697234136962
05019,AR,Clark County,0.9692692628472446
05021,AR,Clay County,0.9723327832249296
05023,AR,Cleburne County,0.974933155080214
05025,AR,Cleveland County,0.9787311397927648
05027,AR,Columbia County,0.973348850741926
05029,AR,Conway County,0.9603134295871726
05031,AR,Craighead County,0.9732274763683534
05033,AR,Crawford County,0.9772417496179424
05035,AR,Crittenden County,0.9686029945431576
05037,AR,Cross County,0.974418405013306
05039,AR,Dallas County,0.9724392361111112
05041,AR,Desha County,0.9678160919540232
05043,AR,Drew County,0.974323386537127
05045,AR,Faulkner County,0.9678438745922436
05047,AR,Franklin County,0.9759450171821306
05049,AR,Fulton County,0.9858291457286432
05051,AR,Garland County,0.9734315695467738
05053,AR,Grant County,0.971235320350825
05055,AR,Greene County,0.9758338503353128
05057,AR,Hempstead County,0.9835653194700654
05059,AR,Hot Spring County,0.9758921490880254
05061,AR,Howard County,0.9731296101159116
05063,AR,Independence County,0.9490526455995472
05065,AR,Izard County,0.9774202653118824
05067,AR,Jackson County,0.9844820795588816
05069,AR,Jefferson County,0.972389257332895
05071,AR,Johnson County,0.9700444168990808
05073,AR,Lafayette County,0.9811687051058048
05075,AR,Lawrence County,0.978925956061839
05077,AR,Lee County,0.9796794504865484
05079,AR,Lincoln County,0.9833478555523284
05081,AR,Little River County,0.985554891412632
05083,AR,Logan County,0.9774388306323484
05085,AR,Lonoke County,0.9631851085832472
05087,AR,Madison County,0.9739130434782608
05089,AR,Marion County,0.9804266381221806
05091,AR,Miller County,0.9922913277437116
05093,AR,Mississippi County,0.9752839647185736
05095,AR,Monroe County,0.9685921370524928
05097,AR,Montgomery County,0.98281226848422
05099,AR,Nevada County,0.983518998931787
05101,AR,Newton County,0.9838266213812064
05103,AR,Ouachita County,0.9672635530121224
05105,AR,Perry County,0.9674853474741836
05107,AR,Phillips County,0.9693617021276596
05109,AR,Pike County,0.970512976727184
05111,AR,Poinsett County,0.975267976775346
05113,AR,Polk County,0.9850144818032992
05115,AR,Pope County,0.95974762574745
05117,AR,Prairie County,0.9721457489878542
05119,AR,Pulaski County,0.9500887082017296
05121,AR,Randolph County,0.978011601241063
05123,AR,St. Francis County,0.9715128247927448
05125,AR,Saline County,0.9644800783116384
05127,AR,Scott County,0.9744072261949568
05129,AR,Searcy County,0.9770903010033444
05131,AR,Sebastian County,0.9748293600752616
05133,AR,Sevier County,0.9781118554291944
05135,AR,Sharp County,0.972922432493081
05137,AR,Stone County,0.9804679115690064
05139,AR,Union County,0.969110598260252
05141,AR,Van Buren County,0.9727325629728156
05143,AR,Washington County,0.9493648702546562
05145,AR,White County,0.9726247708643172
05147,AR,Woodruff County,0.9781111657648796
05149,AR,Yell County,0.9694989106753812
06001,CA,Alameda County,0.8495002342136689
06005,CA,Amador County,0.9630744299108692
06007,CA,Butte County,0.9464863583105508
06009,CA,Calaveras County,0.9571124134256792
06011,CA,Colusa County,0.9352828719110672
06013,CA,Contra Costa County,0.8686489995505754
