fips,date,week_number,county,PFV,VHb,state,hesitant,region,division
01001,2021-06-13,23,Autauga County,0.2142511947591687,0.9728957049776162,AL,0.16848357,South,East South Central
01003,2021-06-13,23,Baldwin County,0.2543474560326832,0.971081371199216,AL,0.15442589,South,East South Central
01005,2021-06-13,23,Barbour County,0.1916065786275621,0.97651203758074,AL,0.16757679,South,East South Central
01007,2021-06-13,23,Bibb County,0.1752255068321871,0.9774555461473328,AL,0.18078262,South,East South Central
01009,2021-06-13,23,Blount County,0.1584754262788365,0.9767955357501305,AL,0.185366,South,East South Central
01011,2021-06-13,23,Bullock County,0.2769032769032769,0.9707602339181286,AL,0.16757679,South,East South Central
01013,2021-06-13,23,Butler County,0.2201254627725216,0.9811113267352352,AL,0.17582946,South,East South Central
01015,2021-06-13,23,Calhoun County,0.2332203688217948,0.9703579106838512,AL,0.17948751,South,East South Central
01017,2021-06-13,23,Chambers County,0.1860828772478499,0.9810431693791004,AL,0.18063264,South,East South Central
01019,2021-06-13,23,Cherokee County,0.1894945793250878,0.9775772365210184,AL,0.17833926,South,East South Central
01021,2021-06-13,23,Chilton County,0.1840956153776897,0.9689137175237892,AL,0.18063264,South,East South Central
01023,2021-06-13,23,Choctaw County,0.347525617602669,0.9371363377067884,AL,0.17350508,South,East South Central
01025,2021-06-13,23,Clarke County,0.2591228515790365,0.9769454058278442,AL,0.17350508,South,East South Central
01027,2021-06-13,23,Clay County,0.2354363430298451,0.973917228103946,AL,0.17833926,South,East South Central
01029,2021-06-13,23,Cleburne County,0.190543259557344,0.9832980283526151,AL,0.17833926,South,East South Central
01031,2021-06-13,23,Coffee County,0.2049023728554506,0.9770395586336424,AL,0.17582946,South,East South Central
01033,2021-06-13,23,Colbert County,0.2897666588222516,0.9680475708751758,AL,0.17384344,South,East South Central
01035,2021-06-13,23,Conecuh County,0.2447169967680451,0.9812661498708012,AL,0.17350508,South,East South Central
01037,2021-06-13,23,Coosa County,0.2250773703460564,0.9777541119394154,AL,0.18063264,South,East South Central
01039,2021-06-13,23,Covington County,0.1895867634753974,0.9813053567343204,AL,0.17582946,South,East South Central
01041,2021-06-13,23,Crenshaw County,0.1948155678187627,0.9886768901569186,AL,0.17582946,South,East South Central
01043,2021-06-13,23,Cullman County,0.2092087670709579,0.97898470405675,AL,0.1805307,South,East South Central
01045,2021-06-13,23,Dale County,0.3013503619946311,0.9588322308744311,AL,0.17683347,South,East South Central
01047,2021-06-13,23,Dallas County,0.2114743520808689,0.9781557445389362,AL,0.18078262,South,East South Central
01049,2021-06-13,23,DeKalb County,0.172989526379819,0.97899389184089,AL,0.18984206,South,East South Central
01051,2021-06-13,23,Elmore County,0.2366609612235097,0.96093628894745,AL,0.16848357,South,East South Central
01053,2021-06-13,23,Escambia County,0.1986733273278191,0.9751195854371512,AL,0.17350508,South,East South Central
01055,2021-06-13,23,Etowah County,0.2256619861540266,0.9641209199264644,AL,0.17972383,South,East South Central
01057,2021-06-13,23,Fayette County,0.1964789596368543,0.9806842853934268,AL,0.18546562,South,East South Central
01059,2021-06-13,23,Franklin County,0.2470505707544161,0.9713698066639244,AL,0.17384344,South,East South Central
01061,2021-06-13,23,Geneva County,0.2221080278634235,0.9780330222541278,AL,0.17683347,South,East South Central
01063,2021-06-13,23,Greene County,0.2920724941437554,0.962615255658005,AL,0.18078262,South,East South Central
01065,2021-06-13,23,Hale County,0.3388164630400655,0.9608212656219004,AL,0.18078262,South,East South Central
01067,2021-06-13,23,Henry County,0.251729148503342,0.9791603285670823,AL,0.17683347,South,East South Central
01069,2021-06-13,23,Houston County,0.243591923084188,0.976457248753368,AL,0.17683347,South,East South Central
01071,2021-06-13,23,Jackson County,0.2766435516987564,0.962102280046374,AL,0.18984206,South,East South Central
01073,2021-06-13,23,Jefferson County,0.3303733982413491,0.9537793407429996,AL,0.14897145,South,East South Central
01075,2021-06-13,23,Lamar County,0.2423759507424846,0.9803168056987532,AL,0.18546562,South,East South Central
01077,2021-06-13,23,Lauderdale County,0.2886152120695791,0.9720179768658366,AL,0.17384344,South,East South Central
01079,2021-06-13,23,Lawrence County,0.2899404689588142,0.9644787326209828,AL,0.17127778,South,East South Central
01081,2021-06-13,23,Lee County,0.2549318714978547,0.9778421191165562,AL,0.14166096,South,East South Central
01083,2021-06-13,23,Limestone County,0.2060253753222463,0.9748395665504016,AL,0.15995724,South,East South Central
01085,2021-06-13,23,Lowndes County,0.2719514702858318,0.9558585313174948,AL,0.16848357,South,East South Central
01087,2021-06-13,23,Macon County,0.2840380783705999,0.9736564805057956,AL,0.16757679,South,East South Central
01089,2021-06-13,23,Madison County,0.3724232989817891,0.9364418817748577,AL,0.1449986,South,East South Central
01091,2021-06-13,23,Marengo County,0.2727561893654244,0.972287192572117,AL,0.18078262,South,East South Central
01093,2021-06-13,23,Marion County,0.209027567403817,0.970471627983811,AL,0.18334331,South,East South Central
01095,2021-06-13,23,Marshall County,0.2360964721929443,0.965847922654821,AL,0.16177055,South,East South Central
01097,2021-06-13,23,Mobile County,0.2503860022748723,0.9748105440721064,AL,0.167748,South,East South Central
01099,2021-06-13,23,Monroe County,0.2355182559205132,0.9793018226753166,AL,0.17350508,South,East South Central
01101,2021-06-13,23,Montgomery County,0.2936296283213973,0.96155186921505,AL,0.15220928,South,East South Central
01103,2021-06-13,23,Morgan County,0.2627110854870111,0.9672779891036252,AL,0.17127778,South,East South Central
