week_number,sni_covid19_vaccination_mean,sni_covid19_vaccination_std,sni_vaccination_intent_mean,sni_vaccination_intent_std,sni_safety_side_effects_mean,sni_safety_side_effects_std,VHb_mean,VHb_std,date,us_sni_covid19_vaccination,us_sni_vaccination_intent,us_sni_safety_side_effects,w_month_year
4,43.928758373205746,18.47959650079502,16.075047354790975,10.433781818047763,7.817590515619119,3.3183786034604283,0.9842580528387009,0.007466181706910139,2021-01-25,61.072,24.518,7.711,"W-4
Jan 2021"
5,41.25021411442275,16.879318574429256,15.284678397603892,9.826316658948368,7.861737643998514,3.089759896037004,0.9742291640237278,0.01156663282431654,2021-02-01,56.989,23.223,7.75,"W-5
Feb 2021"
6,44.12518934707904,21.78415533027732,18.525928465530022,13.713651650277766,9.804058759124088,3.56652118050275,0.9598834186308925,0.01719616944935597,2021-02-08,66.057,30.287,10.835,"W-6
Feb 2021"
7,39.78901679496151,21.95309970611785,16.920128565994677,13.391910765059801,9.988879017013232,4.073553599019755,0.9529883553210611,0.020198773231322912,2021-02-15,62.342,28.564,11.488,"W-7
Feb 2021"
8,44.59570322804582,22.104361781445316,18.313595360824742,13.282560217586543,10.900555677254472,3.980699915435626,0.9415930100499142,0.024313166362403268,2021-02-22,70.689,32.243,12.336,"W-8
Feb 2021"
9,53.12908605851979,27.11903466192442,23.553819145049324,16.72011146110389,12.594905646890638,4.302474419425916,0.9324458052687348,0.02893921664785947,2021-03-01,87.899,43.236,14.896,"W-9
Mar 2021"
10,60.58352633378933,29.16463073343539,26.155409764918627,17.697943894663968,14.539519346822862,4.6196587663605735,0.9234099413007117,0.03129027918259851,2021-03-08,100.0,48.223,17.29,"W-10
Mar 2021"
11,55.20187043418333,27.514717118544187,22.268064336184455,15.82563053351854,14.036369132290183,4.679673062722855,0.917849191692169,0.03249997737735131,2021-03-15,93.347,42.402,17.673,"W-11
Mar 2021"
12,53.2249110882252,27.81433065592655,20.98525083736509,15.325184198311847,13.98737858166189,4.784403263961267,0.9161950788317801,0.03345973528329851,2021-03-22,93.006,41.237,18.349,"W-12
Mar 2021"
13,55.20977667238422,31.064045696454958,20.87207001123175,16.783649513491575,15.473734436847787,5.632904190482525,0.9057199284296257,0.037631183849993304,2021-03-29,99.096,43.053,21.152,"W-13
Mar 2021"
14,54.17859266872217,29.166418472016954,16.586712977099236,12.847057111085256,16.650293823634417,6.612083113274603,0.8973161934522728,0.04094286938486046,2021-04-05,95.537,33.291,23.391,"W-14
Apr 2021"
15,42.570650468587296,21.324869506887342,9.548497097844113,7.544703726935983,15.257484620886983,6.26893346551966,0.8861452015820114,0.042291897051915654,2021-04-12,72.037,18.095,21.906,"W-15
Apr 2021"
16,33.50831640211641,16.858837092430168,7.993565635451505,5.362563929641874,13.62769930326366,6.069509557357035,0.8802229377883061,0.046991796941087925,2021-04-19,55.185,13.297,20.327,"W-16
Apr 2021"
17,42.964468397676804,14.54984830212239,18.649483103448276,4.328050228728647,11.70726207412954,5.3096025091760595,0.8810362866726382,0.05227986402633182,2021-04-26,62.795,23.396,17.461,"W-17
Apr 2021"
18,28.22396401583303,13.856234439477303,5.96162202247191,3.0596037048186475,10.364422562141492,4.420962135502387,0.888276612848804,0.0575969647498901,2021-05-03,44.188,8.522,14.941,"W-18
May 2021"
19,33.576142857142855,15.623170400555676,8.156484022155944,4.68093734301918,10.112491577335376,4.253756939266599,0.9027484797258013,0.05347776093619463,2021-05-10,51.568,11.948,13.811,"W-19
May 2021"
20,31.336703756201274,13.30540373530607,7.52033836858006,5.773804601724435,9.449800614675373,3.7116301362164776,0.9163805567391788,0.046732926421844775,2021-05-17,42.864,9.565,11.954,"W-20
May 2021"
21,25.124776005799202,11.224500007075452,5.942170765027322,3.59446920428809,7.3461468926553675,2.84463558705599,0.9288708341897274,0.04215847214992642,2021-05-24,34.189,7.476,9.023,"W-21
May 2021"
22,21.812032138899152,8.756521154984748,5.902169889502763,4.231783978411526,5.853256138865368,2.482093756220756,0.9398375981098936,0.03820098686792161,2021-05-31,29.344,6.958,6.756,"W-22
May 2021"
23,21.578320222634506,8.202681781002417,5.719706180811809,3.887326146158426,6.386355812991312,2.621943713056676,0.9459765212510801,0.03422342026835119,2021-06-07,28.595,6.438,7.375,"W-23
Jun 2021"
24,19.825030734632684,8.15879006013755,5.68374067076051,4.677151803776631,5.3436749455337695,2.3054292753497423,0.9497876446148636,0.031438046313689814,2021-06-14,26.997,6.523,5.921,"W-24
Jun 2021"
25,20.689567477876107,7.908360543409951,5.466079207920792,4.643058265409485,5.0504787694974,2.4111582095656856,0.9527868832031732,0.0290502637181677,2021-06-21,26.537,5.575,5.325,"W-25
Jun 2021"
26,19.17166076807229,7.139829863808031,5.406641123274631,4.348631395727633,4.338818305391935,2.2531151422253872,0.9547820812049757,0.027023004727003565,2021-06-28,24.148,5.327,4.421,"W-26
Jun 2021"
27,22.195019636363636,8.416826404026109,5.337839351851852,4.595408127056535,4.643602858380251,2.4840156910861113,0.9629011262068644,0.020885815239424052,2021-07-05,26.058,5.131,4.406,"W-27
Jul 2021"
28,23.75856134094151,7.854121791070739,5.040188747731397,3.4650996247813737,5.391150125104253,3.334252397909331,0.9694164153153362,0.01703251116235228,2021-07-12,28.078,5.212,4.941,"W-28
Jul 2021"
29,33.25132218739115,10.395768360535728,6.110093178036606,3.208226324406933,6.96678451310129,3.256545001731844,0.973177429294528,0.014902081485012993,2021-07-19,37.589,6.367,6.294,"W-29
Jul 2021"
30,42.886734422880494,11.635290990320986,7.445504135486411,3.067480083863008,8.30265659236872,3.7136954952729937,0.9756957234692032,0.013279915610001582,2021-07-26,47.477,8.006,7.322,"W-30
Jul 2021"
31,64.54687357094822,12.866545659592617,12.200957369942197,3.003938817428583,10.12127633027523,3.9693040142953673,0.97481585484081,0.016923579208527537,2021-08-02,69.349,13.204,8.837,"W-31
Aug 2021"
32,51.59899288135593,12.272373646055318,7.833818217510797,3.2536109904464965,10.138206430398247,3.7449268110751524,0.9716125454443117,0.02294762923989613,2021-08-09,55.89,8.703,8.833,"W-32
Aug 2021"
33,50.1120572493225,12.397355639067545,7.157350891089109,2.783430876486802,10.130067032967032,3.9494890512255436,0.9680218047438126,0.02149522336411667,2021-08-16,54.604,8.483,8.767,"W-33
Aug 2021"
34,52.94351159663865,13.44137565277157,7.340870216962524,3.6959828509519506,10.14660510018215,4.599530122484425,0.9623293663566129,0.023030789923485152,2021-08-23,55.674,7.926,8.748,"W-34
Aug 2021"
35,54.09969534650151,10.290448975504901,22.51331836596894,4.704007661554833,9.4758469425119,3.429005292391096,0.9595136083628613,0.01750344365955109,2021-08-30,56.307,22.808,8.086,"W-35
Aug 2021"
36,41.08226970108696,9.536459644067861,6.056102781136639,2.6311506150712582,9.353863935625457,3.33298995223936,0.9561400839650882,0.018962130372067912,2021-09-06,41.003,6.258,7.778,"W-36
Sep 2021"
37,35.21490343642612,9.007388323962404,5.2723551401869155,2.544430104601964,8.994440177252585,3.018918282121853,0.9533766566826276,0.01912537800480459,2021-09-13,37.21,5.873,7.688,"W-37
Sep 2021"
38,29.441940505015562,8.38450979689184,4.97354871122761,2.618459276201759,7.240895096921322,2.663338401176477,0.9502660242568216,0.02437096347575452,2021-09-20,33.753,5.899,6.407,"W-38
Sep 2021"
39,29.795947240541476,8.611199119097353,4.946897345132743,2.4268163771245255,5.977887445887446,2.4944659048218543,0.9529516946388297,0.02341723902402977,2021-09-27,35.467,5.991,5.386,"W-39
Sep 2021"
40,25.771383672039242,7.7205148772711,3.884159579550884,2.068764711488759,4.945750829187396,2.1528315448287954,0.9539509766567246,0.02287409830865325,2021-10-04,30.802,4.694,4.372,"W-40
Oct 2021"
41,24.978689606741575,7.7630540906304555,3.8401664219285365,4.5381126560120215,4.274600258732212,2.7745132665845693,0.9624965377520569,0.015527774479432349,2021-10-11,29.877,4.333,3.67,"W-41
Oct 2021"
42,26.649147575544625,9.345444295623796,4.50327052238806,2.3534010919373634,4.0449032258064515,2.9540929227730373,0.9657816775802668,0.01421478915186601,2021-10-18,33.423,5.567,3.488,"W-42
Oct 2021"
43,27.117062412342214,10.038528761904022,4.716626506024096,2.9287186350491465,4.015494481236203,2.5548475356255542,0.9671437562782497,0.01485638275634677,2021-10-25,34.263,5.727,3.613,"W-43
Oct 2021"
