Feature,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Total SHAP,Week,Ranking,C1 Ranking,C5 Ranking,Index Name,week_number,w_month_year
Stringency Index,0.022529847119499,0.0121109301101072,0.0113466624886762,0.0109733318058929,0.0158139122808204,0.0727746838049959,4,4,4,5,F21,4,"W-4
Jan 2021"
Stringency Index,0.018449257885847,0.0124121941365896,0.0094421232403024,0.0111768183631785,0.0161673975886035,0.0676477912145211,5,6,5,4,F21,5,"W-5
Feb 2021"
Stringency Index,0.0156268116153627,0.0161106965045042,0.0127635435322131,0.0129321349879981,0.0259150807269608,0.083348267367039,6,3,8,2,F21,6,"W-6
Feb 2021"
Stringency Index,0.0138777532606582,0.0117634241260167,0.011866975336364,0.0116108339683751,0.0148469365958374,0.0639659232872516,7,6,9,7,F21,7,"W-7
Feb 2021"
Stringency Index,0.015936926512393,0.0125271210762384,0.0112061658353122,0.0102267388436978,0.0238227095009764,0.073719661768618,8,5,6,2,F21,8,"W-8
Feb 2021"
Stringency Index,0.0172517298801979,0.0149942484307819,0.016249565825169,0.0208739205294285,0.0198805255690519,0.0892499902346294,9,5,5,5,F21,9,"W-9
Mar 2021"
Stringency Index,0.0149880884944753,0.0109686969621552,0.0103880900217267,0.0123164082065476,0.016872683054751,0.065533966739656,10,10,7,8,F21,10,"W-10
Mar 2021"
Stringency Index,0.0067129140765623,0.0088052365919252,0.0059466518602749,0.008266593496156,0.0076043929560578,0.0373357889809763,11,16,22,15,F21,11,"W-11
Mar 2021"
Stringency Index,0.0226705576514134,0.0104841584788061,0.0141643139507237,0.014302960774712,0.0087948739751096,0.070416864830765,12,8,4,13,F21,12,"W-12
Mar 2021"
Stringency Index,0.0118152531990641,0.0092119098472903,0.0086045703791218,0.0084439624106863,0.0104625422756614,0.0485382381118241,13,14,12,14,F21,13,"W-13
Mar 2021"
Stringency Index,0.0093815198415905,0.0088131443394408,0.0073817590927912,0.007746513407401,0.0082444291444914,0.0415673658257151,14,14,15,18,F21,14,"W-14
Apr 2021"
